-4.0,4.0
[-3.5690223],[4.72445912]
[-3.56854165],[4.72533444]
[-3.56806107],[4.72620979]
[-3.56758056],[4.72708518]
[-3.56710012],[4.72796061]
[-3.56661977],[4.72883607]
[-3.56613948],[4.72971158]
[-3.56565927],[4.73058712]
[-3.56517913],[4.7314627]
[-3.56469907],[4.73233831]
[-3.56421908],[4.73321397]
[-3.56373917],[4.73408966]
[-3.56325933],[4.73496539]
[-3.56277956],[4.73584116]
[-3.56229987],[4.73671696]
[-3.56182025],[4.7375928]
[-3.56134071],[4.73846869]
[-3.56086124],[4.7393446]
[-3.56038185],[4.74022056]
[-3.55990253],[4.74109655]
[-3.55942328],[4.74197259]
[-3.55894411],[4.74284866]
[-3.55846501],[4.74372476]
[-3.55798599],[4.74460091]
[-3.55750704],[4.74547709]
[-3.55702817],[4.74635331]
[-3.55654937],[4.74722957]
[-3.55607065],[4.74810586]
[-3.555592],[4.74898219]
